Datum,Netzlast [MW],Windpotential [MW],Solarpotential [MW]
2024-04-09 00:00,43559.3,13318.6,0
2024-04-09 01:00,42094.8,13861.9,0
2024-04-09 02:00,41395.0,14064.5,0
2024-04-09 03:00,42502.3,13227.3,0
2024-04-09 04:00,43580.5,13109.1,0
2024-04-09 05:00,47219.3,14446.2,0
2024-04-09 06:00,55208.5,16091.7,121.3
2024-04-09 07:00,59665.8,17332.3,2388.7
2024-04-09 08:00,62712.5,16673.8,7001.4
2024-04-09 09:00,63376.5,15585.6,12327.8
2024-04-09 10:00,63805.8,15762,16956
2024-04-09 11:00,64142.3,18272.2,19577.2
2024-04-09 12:00,64441.3,20796.7,20383.5
2024-04-09 13:00,63557.5,23502,19611.4
2024-04-09 14:00,62675.8,25925.7,17055.9
2024-04-09 15:00,61651.0,28121.7,12941.4
2024-04-09 16:00,61586.0,29727.6,8860.8
2024-04-09 17:00,61477.5,29768.7,5354.1
2024-04-09 18:00,62633.3,28495,2507.7
2024-04-09 19:00,62401.0,26745.4,684.7
2024-04-09 20:00,61090.8,27593.2,25.1
2024-04-09 21:00,58285.5,29280.2,0
2024-04-09 22:00,53908.8,28570.3,0
2024-04-09 23:00,50376.0,28269,0
