Datum;von;Strompreis dyn. 2030 ME
01.01.2024;00:00;33,36
01.01.2024;00:15;33,357749999999996
01.01.2024;00:30;33,3555
01.01.2024;00:45;33,35325
01.01.2024;01:00;33,351
01.01.2024;01:15;33,35075
01.01.2024;01:30;33,3505
01.01.2024;01:45;33,35025
01.01.2024;02:00;33,35
01.01.2024;02:15;33,34975
01.01.2024;02:30;33,3495
01.01.2024;02:45;33,34925
01.01.2024;03:00;33,349
01.01.2024;03:15;33,3485
01.01.2024;03:30;33,348
01.01.2024;03:45;33,3475
01.01.2024;04:00;33,347
01.01.2024;04:15;33,34725
01.01.2024;04:30;33,3475
01.01.2024;04:45;33,34775
01.01.2024;05:00;33,348
01.01.2024;05:15;33,34725
01.01.2024;05:30;33,3465
01.01.2024;05:45;33,345749999999995
01.01.2024;06:00;33,345
01.01.2024;06:15;33,345749999999995
01.01.2024;06:30;33,3465
01.01.2024;06:45;33,34725
01.01.2024;07:00;33,348
01.01.2024;07:15;33,3485
01.01.2024;07:30;33,349000000000004
01.01.2024;07:45;33,3495
01.01.2024;08:00;33,35
01.01.2024;08:15;33,351
01.01.2024;08:30;33,352000000000004
01.01.2024;08:45;33,353
01.01.2024;09:00;33,354
01.01.2024;09:15;33,3545
01.01.2024;09:30;33,355000000000004
01.01.2024;09:45;33,3555
01.01.2024;10:00;33,356
01.01.2024;10:15;33,368
01.01.2024;10:30;33,38
01.01.2024;10:45;33,392
01.01.2024;11:00;33,404
01.01.2024;11:15;33,4465
01.01.2024;11:30;33,489000000000004
01.01.2024;11:45;33,5315
01.01.2024;12:00;33,574
01.01.2024;12:15;33,567
01.01.2024;12:30;33,56
01.01.2024;12:45;33,553
01.01.2024;13:00;33,546
01.01.2024;13:15;33,522999999999996
01.01.2024;13:30;33,5
01.01.2024;13:45;33,477000000000004
01.01.2024;14:00;33,454
01.01.2024;14:15;33,5195
01.01.2024;14:30;33,585
01.01.2024;14:45;33,6505
01.01.2024;15:00;33,716
01.01.2024;15:15;34,701
01.01.2024;15:30;35,686
01.01.2024;15:45;36,671
01.01.2024;16:00;37,656
01.01.2024;16:15;37,82775
01.01.2024;16:30;37,9995
01.01.2024;16:45;38,17125
01.01.2024;17:00;38,343
01.01.2024;17:15;38,54475
01.01.2024;17:30;38,7465
01.01.2024;17:45;38,94825
01.01.2024;18:00;39,15
01.01.2024;18:15;39,05625
01.01.2024;18:30;38,9625
01.01.2024;18:45;38,86875
01.01.2024;19:00;38,775
01.01.2024;19:15;38,619
01.01.2024;19:30;38,463
01.01.2024;19:45;38,307
01.01.2024;20:00;38,151
01.01.2024;20:15;38,0245
01.01.2024;20:30;37,898
01.01.2024;20:45;37,7715
01.01.2024;21:00;37,645
01.01.2024;21:15;37,7485
01.01.2024;21:30;37,852000000000004
01.01.2024;21:45;37,9555
01.01.2024;22:00;38,059
01.01.2024;22:15;37,7705
01.01.2024;22:30;37,482
01.01.2024;22:45;37,1935
01.01.2024;23:00;36,905
01.01.2024;23:15;36,781
01.01.2024;23:30;36,657
01.01.2024;23:45;36,533
02.01.2024;00:00;36,409
02.01.2024;00:15;36,146
02.01.2024;00:30;35,882999999999996
02.01.2024;00:45;35,62
02.01.2024;01:00;35,357
02.01.2024;01:15;35,631
02.01.2024;01:30;35,905
02.01.2024;01:45;36,179
02.01.2024;02:00;36,453
02.01.2024;02:15;36,137
02.01.2024;02:30;35,821
02.01.2024;02:45;35,505
02.01.2024;03:00;35,189
02.01.2024;03:15;35,00625
02.01.2024;03:30;34,823499999999996
02.01.2024;03:45;34,64075
02.01.2024;04:00;34,458
02.01.2024;04:15;34,5255
02.01.2024;04:30;34,593
02.01.2024;04:45;34,6605
02.01.2024;05:00;34,728
02.01.2024;05:15;35,57425
02.01.2024;05:30;36,420500000000004
02.01.2024;05:45;37,26675
02.01.2024;06:00;38,113
02.01.2024;06:15;38,37475
02.01.2024;06:30;38,6365
02.01.2024;06:45;38,89825
02.01.2024;07:00;39,16
02.01.2024;07:15;39,34925
02.01.2024;07:30;39,5385
02.01.2024;07:45;39,72775
02.01.2024;08:00;39,917
02.01.2024;08:15;39,8935
02.01.2024;08:30;39,870000000000005
02.01.2024;08:45;39,8465
02.01.2024;09:00;39,823
02.01.2024;09:15;39,929249999999996
02.01.2024;09:30;40,0355
02.01.2024;09:45;40,14175
02.01.2024;10:00;40,248
02.01.2024;10:15;40,361999999999995
02.01.2024;10:30;40,476
02.01.2024;10:45;40,59
02.01.2024;11:00;40,704
02.01.2024;11:15;40,8195
02.01.2024;11:30;40,935
02.01.2024;11:45;41,0505
02.01.2024;12:00;41,166
02.01.2024;12:15;41,183749999999996
02.01.2024;12:30;41,201499999999996
02.01.2024;12:45;41,21925
02.01.2024;13:00;41,237
02.01.2024;13:15;41,24625
02.01.2024;13:30;41,2555
02.01.2024;13:45;41,26475
02.01.2024;14:00;41,274
02.01.2024;14:15;41,292
02.01.2024;14:30;41,31
02.01.2024;14:45;41,327999999999996
02.01.2024;15:00;41,346
02.01.2024;15:15;41,433499999999995
02.01.2024;15:30;41,521
02.01.2024;15:45;41,6085
02.01.2024;16:00;41,696
02.01.2024;16:15;41,6325
02.01.2024;16:30;41,569
02.01.2024;16:45;41,5055
02.01.2024;17:00;41,442
02.01.2024;17:15;41,29275
02.01.2024;17:30;41,1435
02.01.2024;17:45;40,99425
02.01.2024;18:00;40,845
02.01.2024;18:15;40,55075
02.01.2024;18:30;40,2565
02.01.2024;18:45;39,96225
02.01.2024;19:00;39,668
02.01.2024;19:15;39,51625
02.01.2024;19:30;39,3645
02.01.2024;19:45;39,21275
02.01.2024;20:00;39,061
02.01.2024;20:15;38,8055
02.01.2024;20:30;38,55
02.01.2024;20:45;38,2945
02.01.2024;21:00;38,039
02.01.2024;21:15;37,86675
02.01.2024;21:30;37,694500000000005
02.01.2024;21:45;37,52225
02.01.2024;22:00;37,35
02.01.2024;22:15;36,53575
02.01.2024;22:30;35,721500000000006
02.01.2024;22:45;34,907250000000005
02.01.2024;23:00;34,093
02.01.2024;23:15;33,90525
02.01.2024;23:30;33,7175
02.01.2024;23:45;33,52975
03.01.2024;00:00;33,342
03.01.2024;00:15;33,31325
03.01.2024;00:30;33,284499999999994
03.01.2024;00:45;33,25575
03.01.2024;01:00;33,227
03.01.2024;01:15;33,225249999999996
03.01.2024;01:30;33,2235
03.01.2024;01:45;33,22175
03.01.2024;02:00;33,22
03.01.2024;02:15;33,21975
03.01.2024;02:30;33,2195
03.01.2024;02:45;33,21925
03.01.2024;03:00;33,219
03.01.2024;03:15;33,219
03.01.2024;03:30;33,219
03.01.2024;03:45;33,219
03.01.2024;04:00;33,219
03.01.2024;04:15;33,21725
03.01.2024;04:30;33,215500000000006
03.01.2024;04:45;33,213750000000005
03.01.2024;05:00;33,212
03.01.2024;05:15;33,27375000000001
03.01.2024;05:30;33,3355
03.01.2024;05:45;33,39725
03.01.2024;06:00;33,459
03.01.2024;06:15;34,4465
03.01.2024;06:30;35,434
03.01.2024;06:45;36,4215
03.01.2024;07:00;37,409
03.01.2024;07:15;37,8845
03.01.2024;07:30;38,36
03.01.2024;07:45;38,835499999999996
03.01.2024;08:00;39,311
03.01.2024;08:15;39,336
03.01.2024;08:30;39,361000000000004
03.01.2024;08:45;39,386
03.01.2024;09:00;39,411
03.01.2024;09:15;39,320750000000004
03.01.2024;09:30;39,2305
03.01.2024;09:45;39,140249999999995
03.01.2024;10:00;39,05
03.01.2024;10:15;38,997249999999994
03.01.2024;10:30;38,9445
03.01.2024;10:45;38,89175
03.01.2024;11:00;38,839
03.01.2024;11:15;38,814
03.01.2024;11:30;38,789
03.01.2024;11:45;38,763999999999996
03.01.2024;12:00;38,739
03.01.2024;12:15;38,75225
03.01.2024;12:30;38,7655
03.01.2024;12:45;38,77875
03.01.2024;13:00;38,792
03.01.2024;13:15;38,953
03.01.2024;13:30;39,114000000000004
03.01.2024;13:45;39,275
03.01.2024;14:00;39,436
03.01.2024;14:15;39,594
03.01.2024;14:30;39,751999999999995
03.01.2024;14:45;39,91
03.01.2024;15:00;40,068
03.01.2024;15:15;40,22825
03.01.2024;15:30;40,3885
03.01.2024;15:45;40,54875
03.01.2024;16:00;40,709
03.01.2024;16:15;40,92625
03.01.2024;16:30;41,1435
03.01.2024;16:45;41,36075
03.01.2024;17:00;41,578
03.01.2024;17:15;41,59525
03.01.2024;17:30;41,6125
03.01.2024;17:45;41,62975
03.01.2024;18:00;41,647
03.01.2024;18:15;41,5485
03.01.2024;18:30;41,45
03.01.2024;18:45;41,3515
03.01.2024;19:00;41,253
03.01.2024;19:15;41,108000000000004
03.01.2024;19:30;40,963
03.01.2024;19:45;40,818
03.01.2024;20:00;40,673
03.01.2024;20:15;40,5275
03.01.2024;20:30;40,382000000000005
03.01.2024;20:45;40,2365
03.01.2024;21:00;40,091
03.01.2024;21:15;40,03075
03.01.2024;21:30;39,9705
03.01.2024;21:45;39,910250000000005
03.01.2024;22:00;39,85
03.01.2024;22:15;39,678
03.01.2024;22:30;39,506
03.01.2024;22:45;39,334
03.01.2024;23:00;39,162
03.01.2024;23:15;39,1415
03.01.2024;23:30;39,120999999999995
03.01.2024;23:45;39,1005
04.01.2024;00:00;39,08
04.01.2024;00:15;38,909
04.01.2024;00:30;38,738
04.01.2024;00:45;38,567
04.01.2024;01:00;38,396
04.01.2024;01:15;38,1345
04.01.2024;01:30;37,873000000000005
04.01.2024;01:45;37,6115
04.01.2024;02:00;37,35
04.01.2024;02:15;36,987
04.01.2024;02:30;36,624
04.01.2024;02:45;36,261
04.01.2024;03:00;35,898
04.01.2024;03:15;36,136
04.01.2024;03:30;36,374
04.01.2024;03:45;36,612
04.01.2024;04:00;36,85
04.01.2024;04:15;37,41825
04.01.2024;04:30;37,9865
04.01.2024;04:45;38,55475
04.01.2024;05:00;39,123
04.01.2024;05:15;39,495999999999995
04.01.2024;05:30;39,869
04.01.2024;05:45;40,242000000000004
04.01.2024;06:00;40,615
04.01.2024;06:15;40,92425
04.01.2024;06:30;41,2335
04.01.2024;06:45;41,54275
04.01.2024;07:00;41,852
04.01.2024;07:15;42,01325
04.01.2024;07:30;42,174499999999995
04.01.2024;07:45;42,33575
04.01.2024;08:00;42,497
04.01.2024;08:15;42,56525
04.01.2024;08:30;42,6335
04.01.2024;08:45;42,701750000000004
04.01.2024;09:00;42,77
04.01.2024;09:15;42,70525000000001
04.01.2024;09:30;42,6405
04.01.2024;09:45;42,57575
04.01.2024;10:00;42,511
04.01.2024;10:15;42,471500000000006
04.01.2024;10:30;42,432
04.01.2024;10:45;42,3925
04.01.2024;11:00;42,353
04.01.2024;11:15;42,25975
04.01.2024;11:30;42,1665
04.01.2024;11:45;42,07325
04.01.2024;12:00;41,98
04.01.2024;12:15;41,9715
04.01.2024;12:30;41,962999999999994
04.01.2024;12:45;41,954499999999996
04.01.2024;13:00;41,946
04.01.2024;13:15;42,09975
04.01.2024;13:30;42,2535
04.01.2024;13:45;42,40725
04.01.2024;14:00;42,561
04.01.2024;14:15;42,72375
04.01.2024;14:30;42,8865
04.01.2024;14:45;43,04925
04.01.2024;15:00;43,212
04.01.2024;15:15;43,38975000000001
04.01.2024;15:30;43,5675
04.01.2024;15:45;43,74525
04.01.2024;16:00;43,923
04.01.2024;16:15;44,6105
04.01.2024;16:30;45,298
04.01.2024;16:45;45,9855
04.01.2024;17:00;46,673
04.01.2024;17:15;46,9585
04.01.2024;17:30;47,244
04.01.2024;17:45;47,5295
04.01.2024;18:00;47,815
04.01.2024;18:15;47,32375
