Datum;von;bis;Spotmarktpreis 2024;Spotmarktpreise 2030 SE;Spotmarktpreise 2030 ME;Spotmarktpreise 2030 LE;Spotmarktpreise 2040 SE;Spotmarktpreise 2040 ME;Spotmarktpreise 2040 LE;Vertriebsaufschlag;Netzentgelte 2030 SE;Netzentgelte 2030 ME;Netzentgelte 2030 LE;Netzentgelte 2040 SE;Netzentgelte 2040 ME;Netzentgelte 2040 LE;Steuern und Abgaben 2030 und 2040;Strompreis dyn. 2030 SE;Strompreis dyn. 2030 ME;Strompreis dyn. 2030 LE;Strompreis dyn. 2040 SE;Strompreis dyn. 2040 ME;Strompreis dyn. 2040 LE
01.01.2024;00:00;01:00;0,01;0,608;0,01;-0,588;0,407001;-1,2892;-2,985;8;9,8;11,35;12,9;7;7,5;8;14;32,408;33,36;34,312;29,407001;28,2108;27,015
01.01.2024;01:00;02:00;0,001;0,6008;0,001;-0,5988;0,400701;-1,2991;-2,9985;8;9,8;11,35;12,9;7;7,5;8;14;32,4008;33,351;34,3012;29,400701;28,2009;27,0015
01.01.2024;02:00;03:00;0;0,6;0;-0,6;0,400001;-1,3002;-3;8;9,8;11,35;12,9;7;7,5;8;14;32,4;33,35;34,3;29,400001;28,1998;27
01.01.2024;03:00;04:00;-0,001;0,5992;-0,001;-0,6012;0,399301;-1,3013;-3,0015;8;9,8;11,35;12,9;7;7,5;8;14;32,3992;33,349;34,2988;29,399301;28,1987;26,9985
01.01.2024;04:00;05:00;-0,003;0,5976;-0,003;-0,6036;0,397901;-1,3035;-3,0045;8;9,8;11,35;12,9;7;7,5;8;14;32,3976;33,347;34,2964;29,397901;28,1965;26,9955
01.01.2024;05:00;06:00;-0,002;0,5984;-0,002;-0,6024;0,398601;-1,3024;-3,003;8;9,8;11,35;12,9;7;7,5;8;14;32,3984;33,348;34,2976;29,398601;28,1976;26,997
01.01.2024;06:00;07:00;-0,005;0,596;-0,005;-0,606;0,396501;-1,3057;-3,0075;8;9,8;11,35;12,9;7;7,5;8;14;32,396;33,345;34,294;29,396501;28,1943;26,9925
01.01.2024;07:00;08:00;-0,002;0,5984;-0,002;-0,6024;0,398601;-1,3024;-3,003;8;9,8;11,35;12,9;7;7,5;8;14;32,3984;33,348;34,2976;29,398601;28,1976;26,997
01.01.2024;08:00;09:00;0;0,6;0;-0,6;0,400001;-1,3002;-3;8;9,8;11,35;12,9;7;7,5;8;14;32,4;33,35;34,3;29,400001;28,1998;27
01.01.2024;09:00;10:00;0,004;0,6032;0,004;-0,5952;0,402801;-1,2958;-2,994;8;9,8;11,35;12,9;7;7,5;8;14;32,4032;33,354;34,3048;29,402801;28,2042;27,006
01.01.2024;10:00;11:00;0,006;0,6048;0,006;-0,5928;0,404201;-1,2936;-2,991;8;9,8;11,35;12,9;7;7,5;8;14;32,4048;33,356;34,3072;29,404201;28,2064;27,009
