,Datetime,PV Leistung in kW
0,01.01. 00:00,0.0
1,01.01. 00:15,0.0
2,01.01. 00:30,0.0
3,01.01. 00:45,0.0
4,01.01. 01:00,0.0
5,01.01. 01:15,0.0
6,01.01. 01:30,0.0
7,01.01. 01:45,0.0
8,01.01. 02:00,0.0
9,01.01. 02:15,0.0
10,01.01. 02:30,0.0
11,01.01. 02:45,0.0
12,01.01. 03:00,0.0
13,01.01. 03:15,0.0
14,01.01. 03:30,0.0
15,01.01. 03:45,0.0
16,01.01. 04:00,0.0
17,01.01. 04:15,0.0
18,01.01. 04:30,0.0
19,01.01. 04:45,0.0
20,01.01. 05:00,0.0
21,01.01. 05:15,0.0
22,01.01. 05:30,0.0
23,01.01. 05:45,0.0
24,01.01. 06:00,0.0
25,01.01. 06:15,0.0
26,01.01. 06:30,0.0
27,01.01. 06:45,0.0
28,01.01. 07:00,0.0
29,01.01. 07:15,0.00283791666666665
30,01.01. 07:30,0.0056758333333333
31,01.01. 07:45,0.00851374999999995
32,01.01. 08:00,0.0113516666666666
33,01.01. 08:15,0.030514999999999952
34,01.01. 08:30,0.049678333333333304
35,01.01. 08:45,0.06884166666666666
36,01.01. 09:00,0.088005
37,01.01. 09:15,0.09941833333333333
38,01.01. 09:30,0.11083166666666665
39,01.01. 09:45,0.12224499999999996
40,01.01. 10:00,0.1336583333333333
41,01.01. 10:15,0.1360008333333333
42,01.01. 10:30,0.13834333333333332
43,01.01. 10:45,0.14068583333333332
44,01.01. 11:00,0.1430283333333333
45,01.01. 11:15,0.1356120833333333
46,01.01. 11:30,0.12819583333333331
47,01.01. 11:45,0.1207795833333333
48,01.01. 12:00,0.1133633333333333
49,01.01. 12:15,0.10181624999999997
50,01.01. 12:30,0.09026916666666665
51,01.01. 12:45,0.07872208333333333
52,01.01. 13:00,0.067175
53,01.01. 13:15,0.05888875
54,01.01. 13:30,0.050602499999999995
55,01.01. 13:45,0.04231625
56,01.01. 14:00,0.03403
57,01.01. 14:15,0.025522499999999997
58,01.01. 14:30,0.017015
59,01.01. 14:45,0.008507500000000001
60,01.01. 15:00,0.0
61,01.01. 15:15,0.0
62,01.01. 15:30,0.0
63,01.01. 15:45,0.0
64,01.01. 16:00,0.0
65,01.01. 16:15,0.0
66,01.01. 16:30,0.0
67,01.01. 16:45,0.0
68,01.01. 17:00,0.0
69,01.01. 17:15,0.0
70,01.01. 17:30,0.0
71,01.01. 17:45,0.0
72,01.01. 18:00,0.0
73,01.01. 18:15,0.0
74,01.01. 18:30,0.0
75,01.01. 18:45,0.0
76,01.01. 19:00,0.0
77,01.01. 19:15,0.0
78,01.01. 19:30,0.0
79,01.01. 19:45,0.0
80,01.01. 20:00,0.0
81,01.01. 20:15,0.0
82,01.01. 20:30,0.0
83,01.01. 20:45,0.0
84,01.01. 21:00,0.0
85,01.01. 21:15,0.0
86,01.01. 21:30,0.0
87,01.01. 21:45,0.0
88,01.01. 22:00,0.0
89,01.01. 22:15,0.0
90,01.01. 22:30,0.0
91,01.01. 22:45,0.0
92,01.01. 23:00,0.0
93,01.01. 23:15,0.0
94,01.01. 23:30,0.0
95,01.01. 23:45,0.0
96,02.01. 00:00,0.0
97,02.01. 00:15,0.0
98,02.01. 00:30,0.0
99,02.01. 00:45,0.0
100,02.01. 01:00,0.0
101,02.01. 01:15,0.0
102,02.01. 01:30,0.0
103,02.01. 01:45,0.0
104,02.01. 02:00,0.0
105,02.01. 02:15,0.0
106,02.01. 02:30,0.0
107,02.01. 02:45,0.0
108,02.01. 03:00,0.0
109,02.01. 03:15,0.0
110,02.01. 03:30,0.0
111,02.01. 03:45,0.0
112,02.01. 04:00,0.0
113,02.01. 04:15,0.0
114,02.01. 04:30,0.0
115,02.01. 04:45,0.0
116,02.01. 05:00,0.0
117,02.01. 05:15,0.0
118,02.01. 05:30,0.0
119,02.01. 05:45,0.0
120,02.01. 06:00,0.0
121,02.01. 06:15,0.0
122,02.01. 06:30,0.0
123,02.01. 06:45,0.0
124,02.01. 07:00,0.0
125,02.01. 07:15,0.00358041666666665
126,02.01. 07:30,0.0071608333333333
127,02.01. 07:45,0.01074124999999995
128,02.01. 08:00,0.0143216666666666
129,02.01. 08:15,0.021474999999999952
130,02.01. 08:30,0.0286283333333333
131,02.01. 08:45,0.03578166666666665
132,02.01. 09:00,0.042935
133,02.01. 09:15,0.055542083333333325
134,02.01. 09:30,0.06814916666666665
135,02.01. 09:45,0.08075624999999997
136,02.01. 10:00,0.0933633333333333
137,02.01. 10:15,0.09075624999999997
138,02.01. 10:30,0.08814916666666664
139,02.01. 10:45,0.08554208333333332
140,02.01. 11:00,0.082935
141,02.01. 11:15,0.090725
142,02.01. 11:30,0.09851499999999999
143,02.01. 11:45,0.106305
144,02.01. 12:00,0.114095
145,02.01. 12:15,0.10445625
146,02.01. 12:30,0.0948175
147,02.01. 12:45,0.08517875
148,02.01. 13:00,0.07554
149,02.01. 13:15,0.06637958333333333
150,02.01. 13:30,0.05721916666666665
151,02.01. 13:45,0.04805874999999997
152,02.01. 14:00,0.0388983333333333
153,02.01. 14:15,0.029173749999999974
154,02.01. 14:30,0.01944916666666665
155,02.01. 14:45,0.009724583333333325
156,02.01. 15:00,0.0
157,02.01. 15:15,0.0
158,02.01. 15:30,0.0
159,02.01. 15:45,0.0
160,02.01. 16:00,0.0
161,02.01. 16:15,0.0
162,02.01. 16:30,0.0
163,02.01. 16:45,0.0
164,02.01. 17:00,0.0
165,02.01. 17:15,0.0
166,02.01. 17:30,0.0
167,02.01. 17:45,0.0
168,02.01. 18:00,0.0
169,02.01. 18:15,0.0
170,02.01. 18:30,0.0
171,02.01. 18:45,0.0
172,02.01. 19:00,0.0
173,02.01. 19:15,0.0
174,02.01. 19:30,0.0
175,02.01. 19:45,0.0
176,02.01. 20:00,0.0
177,02.01. 20:15,0.0
178,02.01. 20:30,0.0
179,02.01. 20:45,0.0
180,02.01. 21:00,0.0
181,02.01. 21:15,0.0
182,02.01. 21:30,0.0
183,02.01. 21:45,0.0
184,02.01. 22:00,0.0
185,02.01. 22:15,0.0
186,02.01. 22:30,0.0
187,02.01. 22:45,0.0
188,02.01. 23:00,0.0
189,02.01. 23:15,0.0
190,02.01. 23:30,0.0
191,02.01. 23:45,0.0
192,03.01. 00:00,0.0
193,03.01. 00:15,0.0
194,03.01. 00:30,0.0
195,03.01. 00:45,0.0
196,03.01. 01:00,0.0
197,03.01. 01:15,0.0
198,03.01. 01:30,0.0
199,03.01. 01:45,0.0
